% Model:              a_2e-5_MW.mph
% Version:            COMSOL 5.5.0.359
% Date:               Jun 28 2021, 18:16
% Table:              Table 7 - Line Integration 1
% w                                               Normalized effective conductivity
0.01                                              0.9990020168722519+2.815167169461867E-9i
0.01088401916069006                               0.9990020168754392+3.0640154929196828E-9i
0.011846187309026836                              0.9990020168791585+3.3348500155380683E-9i
0.01289341296525715                               0.9990020168836174+3.6296286636063865E-9i
0.014033215376054847                              0.999002016888877+3.950446298675661E-9i
0.01527377850390714                               0.9990020168951014+4.299610086282894E-9i
0.016624009789266127                              0.9990020169024756+4.6796270230506324E-9i
0.018093604107387164                              0.9990020169112019+5.093223281923669E-9i
0.01969311337907423                               0.9990020169215758+5.543350955812145E-9i
0.021434022335148566                              0.9990020169337867+6.033232488218189E-9i
0.023328830978641572                              0.9990020169483264+6.566371770770798E-9i
0.02539114433680347                               0.9990020169655822+7.1466318896670785E-9i
0.027635770147361603                              0.9990020169859412+7.777964920935848E-9i
0.03007882518043099                               0.9990020170101045+8.465136796976005E-9i
0.03273785095948577                               0.9990020170386922+9.212910478363729E-9i
0.03563193971228586                               0.9990020170725947+1.00266120267582E-8i
0.03878187145610724                               0.9990020171127013+1.0912027050716222E-8i
0.04221026320156901                               0.9990020171601465+1.1875457937874705E-8i
0.04594173134636476                               0.9990020172164351+1.2923714893296625E-8i
0.05000306842491095                               0.9990020172830808+1.406413361405718E-8i
0.054423435483002665                              0.9990020173619583+1.5304775083500887E-8i
0.05923457145875806                               0.999002017455421+1.6654367680411094E-8i
0.06447102107323872                               0.9990020175660772+1.8122259710624156E-8i
0.07017038286703829                               0.9990020176970728+1.9718698171803907E-8i
0.07637357916378024                               0.9990020178521448+2.145460993126566E-8i
0.08312514989890632                               0.9990020180357381+2.3341884523945445E-8i
0.09047357242349298                               0.9990020182530408+2.5393315709661623E-8i
0.09847160957933775                               0.9990020185101933+2.7622631527883218E-8i
0.10717668854455034                               0.99900201881435+3.004456823206572E-8i
0.11665131316981968                               0.9990020191741945+3.267487901248278E-8i
0.1269635127659974                                0.9990020195997261+3.553034686880091E-8i
0.13818733056536328                               0.9990020201028206+3.862877909245226E-8i
0.15040335536380253                               0.9990020206972736+4.1988965954412384E-8i
0.16369930016117026                               0.9990020213994126+4.563060592959524E-8i
0.17817063195457308                               0.9990020222283542+4.95741831085688E-8i
0.193921257206583                                 0.9990020232063361+5.384078061054207E-8i
0.21106426791015548                               0.9990020243593742+5.8451780544379885E-8i
0.22972275360711536                               0.9990020257177221+6.342855439367234E-8i
0.25003068519063254                               0.999002027316286+6.879188405199336E-8i
0.2721338768375309                                0.9990020291951242+7.456131519826251E-8i
0.2961910329772555                                0.9990020314006164+8.075434805294037E-8i
0.32237488781490303                               0.9990020339852305+8.738527677093743E-8i
0.35087344559027134                               0.9990020370084929+9.446390847599438E-8i
0.3818913304781854                                0.999002040536843+1.0199384937161011E-7i
0.4156512558225992                                0.9990020446441633+1.0997055554305536E-7i
0.45239562325380556                               0.9990020494111053+1.1837910209988782E-7i
0.49238826317067413                               0.9990020549242156+1.2719155553275637E-7i
0.5359163290848518                                0.9990020612746006+1.3636420871787628E-7i
0.5832923594286206                                0.9990020685553207+1.4583475846656118E-7i
0.634856521630522                                 0.999002076858376+1.5551961636375876E-7i
0.6909790545715645                                0.9990020862697901+1.6531162745137466E-7i
0.752062926959241                                 0.9990020968640653+1.7507888066528606E-7i
0.8185467307069029                                0.9990021086977056+1.846645998689235E-7i
0.8909078300934142                                0.999002121801693+1.9388920104460556E-7i
0.9696657893145525                                0.9990021361739055+2.0255448976585233E-7i
1.0553861030365241                                0.9990021517720549+2.1045061421119508E-7i
1.1486842567375548                                0.9990021685087861+2.173655886782746E-7i
1.250230145991456                                 0.9990021862488394+2.230970155796484E-7i
1.3607528864243346                                0.9990022048103203+2.2746498824713395E-7i
1.4810460488806754                                0.9990022239697924+2.3032510927784826E-7i
1.6119733573881587                                0.9990022434720642+2.3157968297376355E-7i
1.7544748908334598                                0.9990022630429605+2.3118575669411944E-7i
1.9095738328780987                                0.9990022824045964+2.291588015058075E-7i
