% Model:              b_4e-6_MW.mph
% Version:            COMSOL 5.5.0.359
% Date:               Jun 25 2021, 11:32
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               Normalized effective conductivity
0.01                                              0.9990095943291241+5.607169877259102E-10i
0.01088401916069006                               0.9990095943291307+6.102854370642671E-10i
0.011846187309026836                              0.9990095943291686+6.642358287117678E-10i
0.01289341296525715                               0.9990095943292076+7.229555445302663E-10i
0.014033215376054847                              0.999009594329253+7.868661811382448E-10i
0.01527377850390714                               0.9990095943292818+8.564266377018056E-10i
0.016624009789266127                              0.9990095943293578+9.32136370113947E-10i
0.018093604107387164                              0.9990095943294545+1.01453897791508E-9i
0.01969311337907423                               0.9990095943295002+1.1042261301880477E-9i
0.021434022335148566                              0.9990095943295908+1.2018417768509879E-9i
0.023328830978641572                              0.9990095943297072+1.3080868264910917E-9i
0.02539114433680347                               0.9990095943298819+1.4237241277597758E-9i
0.027635770147361603                              0.9990095943300376+1.5495839497238414E-9i
0.03007882518043099                               0.99900959433023+1.6865699868324248E-9i
0.03273785095948577                               0.9990095943304514+1.8356658249295443E-9i
0.03563193971228586                               0.9990095943307001+1.9979419576926577E-9i
0.03878187145610724                               0.9990095943310338+2.174563540970523E-9i
0.04221026320156901                               0.9990095943314027+2.366798719531369E-9i
0.04594173134636476                               0.9990095943318298+2.5760277352566057E-9i
0.05000306842491095                               0.9990095943323745+2.803752847504517E-9i
0.054423435483002665                              0.9990095943329941+3.051609112137948E-9i
0.05923457145875806                               0.9990095943337433+3.3213760661435533E-9i
0.06447102107323872                               0.9990095943346424+3.6149906330049903E-9i
0.07017038286703829                               0.9990095943357079+3.934560867775264E-9i
0.07637357916378024                               0.9990095943369455+4.28238118224315E-9i
0.08312514989890632                               0.9990095943383954+4.660948797344325E-9i
0.09047357242349298                               0.9990095943401838+5.072981618114031E-9i
0.09847160957933775                               0.9990095943422249+5.521437752223461E-9i
0.10717668854455034                               0.9990095943446795+6.009536802473333E-9i
0.11665131316981968                               0.9990095943475716+6.540782766603883E-9i
0.1269635127659974                                0.9990095943510369+7.118989484254431E-9i
0.13818733056536328                               0.9990095943550934+7.74830758599975E-9i
0.15040335536380253                               0.9990095943599888+8.433254467792907E-9i
0.16369930016117026                               0.9990095943656698+9.178746668527855E-9i
0.17817063195457308                               0.9990095943724604+9.990134991853673E-9i
0.193921257206583                                 0.9990095943804801+1.0873242786431674E-8i
0.21106426791015548                               0.9990095943899039+1.1834407584411596E-8i
0.22972275360711536                               0.9990095944011885+1.2880526543782059E-8i
0.25003068519063254                               0.9990095944145833+1.4019105574544918E-8i
0.2721338768375309                                0.9990095944303423+1.5258312665492247E-8i
0.2961910329772555                                0.9990095944490457+1.660703674241903E-8i
0.32237488781490303                               0.9990095944712433+1.807495003094906E-8i
0.35087344559027134                               0.9990095944974836+1.967257732160957E-8i
0.3818913304781854                                0.9990095945286547+2.141137080306467E-8i
0.4156512558225992                                0.9990095945654273+2.3303790111767487E-8i
0.45239562325380556                               0.9990095946090843+2.5363390705227494E-8i
0.49238826317067413                               0.9990095946607789+2.7604919832035453E-8i
0.5359163290848518                                0.9990095947220486+3.004441841437735E-8i
0.5832923594286206                                0.9990095947945352+3.2699333553979086E-8i
0.634856521630522                                 0.9990095948805295+3.558863927600195E-8i
0.6909790545715645                                0.9990095949823216+3.8732966588352165E-8i
0.752062926959241                                 0.9990095951028837+4.2154744819056296E-8i
0.8185467307069029                                0.9990095952456645+4.587835271325783E-8i
0.8909078300934142                                0.9990095954147787+4.993028209858143E-8i
0.9696657893145525                                0.9990095956151714+5.4339310119193544E-8i
1.0553861030365241                                0.9990095958524056+5.913668851502057E-8i
1.1486842567375548                                0.9990095961333804+6.435633886801163E-8i
1.250230145991456                                 0.9990095964661491+7.003506558292606E-8i
1.3607528864243346                                0.9990095968601912+7.621277487319107E-8i
1.4810460488806754                                0.9990095973267274+8.29327047160132E-8i
1.6119733573881587                                0.9990095978791214+9.024166856024569E-8i
1.7544748908334598                                0.9990095985331299+9.819029453360401E-8i
1.9095738328780987                                0.9990095993071875+1.0683327658802346E-7i
2.0783838185797574                                0.9990096002234992+1.1622961307555141E-7i
2.2621169304690265                                0.9990096013077326+1.2644284173000184E-7i
2.462092401494628                                 0.9990096025906383+1.3754124715609525E-7i
2.679746087325692                                 0.9990096041082166+1.4959804023101916E-7i
2.9166407760237067                                0.9990096059028348+1.626914846139342E-7i
3.1744774091091936                                0.9990096080246234+1.7690494214440444E-7i
3.4551072945922217                                0.9990096105322694+1.9232683589990444E-7i
3.760545399658172                                 0.9990096134948508+2.0905045254232707E-7i
4.092984818452442                                 0.9990096169930814+2.2717357822084182E-7i
4.454812518844989                                 0.9990096211216531+2.4679787636122645E-7i
4.848626481239083                                 0.9990096259911829+2.6802796935676307E-7i
5.277254352483543                                 0.9990096317301658+2.909700921173314E-7i
5.7437737488265865                                0.9990096384882108+3.1573025308437523E-7i
6.251534353689718                                 0.9990096464381308+3.424117400067313E-7i
6.804181968927101                                 0.9990096557791878+3.711118466951408E-7i
7.405684692262442                                 0.9990096667397654+4.019176334494116E-7i
8.060361408861345                                 0.9990096795799304+4.349005557274926E-7i
8.772912801613366                                 0.9990096945938162+4.70109790340484E-7i
9.548455102782302                                 0.9990097121108298+5.07564091359105E-7i
10.39255682936713                                 0.9990097324958981+5.472420831996076E-7i
11.311278765939225                                0.9990097561477641+5.890709940185214E-7i
12.311217482038908                                0.9990097834949349+6.329139732970213E-7i
13.399552696593398                                0.9990098149877852+6.78556378855885E-7i
14.584098829439863                                0.9990098510871702+7.25691762607359E-7i
15.873361110102103                                0.9990098922475982+7.739086086989339E-7i
17.276596646690383                                0.9990099388949654+8.226794827929382E-7i
18.803880893409165                                0.9990099913986563+8.713544880021988E-7i
20.46617999391992                                 0.9990100500386335+9.191615648229114E-7i
22.275429519995587                                0.9990101149690535+9.652160511908719E-7i
24.244620170823307                                0.9990101861809696+1.008541848675389E-6i
26.387891048289347                                0.9990102634684856+1.048105507583445E-6i
28.720631177978312                                0.9990103464028663+1.0828631853655108E-6i
31.25959000482281                                 0.9990104343201502+1.1118183043218452E-6i
34.02299765678071                                 0.9990105263267267+1.1340854118855638E-6i
37.03069584005145                                 0.9990106213254129+1.1489536412435717E-6i
40.30428030568055                                 0.9990107180625115+1.1559419791477636E-6i
43.867255910485035                                0.99901081519175+1.154838644145026E-6i
47.745205385661315                                0.9990109113492+1.14571876410336E-6i
51.96597302486202                                 0.9990110052300719+1.1289375812913414E-6i
56.55986461065008                                 0.9990110956583608+1.1051002241309833E-6i
61.55986501483514                                 0.9990111816423396+1.0750127462917084E-6i
67.0018750350959                                  0.9990112624100376+1.0396213993765574E-6i
72.92496916841452                                 0.9990113374237566+9.999480927789903E-7i
79.37167617217558                                 0.9990114063755525+9.570293798906537E-7i
86.38828442740453                                 0.9990114691663035+9.118643555612702E-7i
94.02517429670142                                 0.999011525875318+8.653747748311716E-7i
102.33717986325213                                0.9990115767236953+8.183782610884614E-7i
111.38398264826206                                0.9990116220374234+7.715738434202121E-7i
121.23054013376529                                0.9990116622127629+7.25537876833489E-7i
131.94755216767086                                0.9990116976856316+6.807278514502695E-7i
143.61196859990804                                0.9990117289072171+6.374916474417307E-7i
156.30754179458174                                0.9990117563250632+5.960799689539347E-7i
170.1254279852589                                 0.9990117803686462+5.566601937702079E-7i
185.1648417912158                                 0.999011801440953+5.193303606763911E-7i
201.53376859417352                                0.9990118199122392+4.841323718939513E-7i
219.34973989050602                                0.9990118361178605+4.510639322171305E-7i
238.7406771860647                                 0.9990118503575931+4.20088948999969E-7i
259.84581049292524                                0.9990118628965149+3.911463631576769E-7i
282.81667802300353                                0.9990118739671836+3.6415743893927036E-7i
307.81821425650804                                0.9990118837719575+3.3903168064833177E-7i
335.02993419772366                                0.9990118924860155+3.1567152793596135E-7i
364.64722232127525                                0.9990119002600388+2.9397600911109596E-7i
396.8827354637166                                 0.9990119072233524+2.738435228485786E-7i
431.96792973341735                                0.9990119134862641+2.551739148351644E-7i
470.1547224022139                                 0.9990119191428591+2.3786996736466366E-7i
511.717300711461                                  0.9990119242730033+2.2183845974151385E-7i
556.9540905800136                                 0.9990119289444985+2.0699083435502881E-7i
606.1898993497584                                 0.9990119332148647+1.932436293396294E-7i
659.7782479539546                                 0.9990119371326754+1.8051867714555512E-7i
718.1039092537357                                 0.9990119407391364+1.6874315742538329E-7i
781.585670768409                                  0.9990119440692122+1.5784953430956175E-7i
850.679341636417                                  0.9990119471523787+1.4777543649925197E-7i
925.8810253973965                                 0.9990119500137692+1.3846345818587935E-7i
1007.7306820944617                                0.999011952674663+1.2986093048720365E-7i
1096.8160052731403                                0.9990119551532826+1.2191970916720192E-7i
1193.7766417144383                                0.9990119574650372+1.1459590164278636E-7i
1299.3087842004172                                0.9990119596232706+1.0784965306760841E-7i
1414.1701702890239                                0.9990119616392762+1.0164489443351093E-7i
1539.1855229902085                                0.9990119635229555+9.59491447199391E-8i
1675.2524724082173                                0.9990119652827392+9.073326813161485E-8i
1823.3480008684423                                0.9990119669260027+8.597133404610884E-8i
1984.5354578058032                                0.9990119684591129+8.164038977639701E-8i
2159.9721947827215                                0.9990119698877767+7.772036884043127E-8i
2350.917875457289                                 0.9990119712167934+7.419391632627944E-8i
2558.743520168589                                 0.9990119724505415+7.10462905351653E-8i
2784.94135008065                                  0.999011973592856+6.82652497670766E-8i
3031.135501567582                                 0.9990119746470999+6.584100592571857E-8i
3299.0936877709423                                0.9990119756162353+6.376612457229836E-8i
3590.739891061055                                 0.9990119765030688+6.203552791664604E-8i
3908.168177536272                                 0.9990119773097573+6.064640155466154E-8i
4253.657732750392                                 0.999011978038542+5.9598285582862036E-8i
4629.689226627268                                 0.9990119786913092+5.889296023007438E-8i
5038.962625065161                                 0.9990119792696099+5.8534583932084654E-8i
5484.416576121026                                 0.999011979774978+5.852967640630115E-8i
5969.249509970739                                 0.9990119802087003+5.8887157724240345E-8i
6496.942604146125                                 0.9990119805718842+5.961850075172189E-8i
7071.284778943011                                 0.9990119808654977+6.073776970713665E-8i
7696.399902471167                                 0.9990119810904295+6.226173759316147E-8i
8376.776400682924                                 0.999011981247358+6.421003979814907E-8i
9117.29948498494                                  0.9990119813369744+6.660530075885084E-8i
9923.286228832565                                 0.9990119813596856+6.947335394322814E-8i
