% Model:              c_0.2e-6_MW.mph
% Version:            COMSOL 5.5.0.359
% Date:               Jun 23 2021, 14:31
% Table:              Table 8 - sigma_eff
% w                                               Normalized effective conductivity
0.01                                              0.9991388146841387+2.664897382333665E-11i
0.01088401916069006                               0.9991388146841416+2.9004929808338933E-11i
0.011846187309026836                              0.9991388146841549+3.156900161118837E-11i
0.01289341296525715                               0.9991388146841632+3.435973367085411E-11i
0.014033215376054847                              0.9991388146841603+3.7397270368020004E-11i
0.01527377850390714                               0.9991388146841539+4.0703202522188295E-11i
0.016624009789266127                              0.9991388146841578+4.4301498743958414E-11i
0.018093604107387164                              0.999138814684166+4.8217829024962666E-11i
0.01969311337907423                               0.9991388146841526+5.2480373162236496E-11i
0.021434022335148566                              0.999138814684157+5.711973557327202E-11i
0.023328830978641572                              0.9991388146841637+6.216924550926052E-11i
0.02539114433680347                               0.9991388146841622+6.766510073391918E-11i
0.027635770147361603                              0.9991388146841581+7.364686073504723E-11i
0.03007882518043099                               0.9991388146841548+8.015735241358006E-11i
0.03273785095948577                               0.9991388146841711+8.724341078868277E-11i
0.03563193971228586                               0.9991388146841816+9.495592020768986E-11i
0.03878187145610724                               0.9991388146841738+1.0335018651571092E-10i
0.04221026320156901                               0.9991388146841783+1.1248653079013686E-10i
0.04594173134636476                               0.9991388146841639+1.2243055463740473E-10i
0.05000306842491095                               0.9991388146841551+1.332536528952523E-10i
0.054423435483002665                              0.9991388146841762+1.450335427725837E-10i
0.05923457145875806                               0.9991388146841365+1.578547826746273E-10i
0.06447102107323872                               0.999138814684136+1.7180943961035684E-10i
0.07017038286703829                               0.9991388146841456+1.8699773662520121E-10i
0.07637357916378024                               0.9991388146841584+2.0352868556898407E-10i
0.08312514989890632                               0.999138814684151+2.2152101632338124E-10i
0.09047357242349298                               0.9991388146841642+2.411038987210593E-10i
0.09847160957933775                               0.9991388146841556+2.624179496542872E-10i
0.10717668854455034                               0.9991388146841587+2.8561620034545257E-10i
0.11665131316981968                               0.9991388146841457+3.1086522517657826E-10i
0.1269635127659974                                0.9991388146841584+3.383463062135276E-10i
0.13818733056536328                               0.9991388146841468+3.682567670139406E-10i
0.15040335536380253                               0.9991388146841581+4.008113653111505E-10i
0.16369930016117026                               0.9991388146841605+4.362438620990811E-10i
0.17817063195457308                               0.9991388146841385+4.748086535331872E-10i
0.193921257206583                                 0.9991388146841506+5.167826475588089E-10i
0.21106426791015548                               0.9991388146841678+5.624672192813385E-10i
0.22972275360711536                               0.9991388146841509+6.121904042926952E-10i
0.25003068519063254                               0.9991388146841528+6.663092108884376E-10i
0.2721338768375309                                0.9991388146841514+7.252122193043301E-10i
0.2961910329772555                                0.9991388146841648+7.893223700198533E-10i
0.32237488781490303                               0.999138814684165+8.590999810035188E-10i
0.35087344559027134                               0.9991388146841591+9.350460627574041E-10i
0.3818913304781854                                0.9991388146841829+1.017705928454126E-9i
0.4156512558225992                                0.9991388146841692+1.1076730814199019E-9i
0.45239562325380556                               0.9991388146841919+1.2055935034839086E-9i
0.49238826317067413                               0.9991388146841813+1.3121702791721418E-9i
0.5359163290848518                                0.9991388146842114+1.428168645897412E-9i
0.5832923594286206                                0.9991388146841943+1.5544214905246628E-9i
0.634856521630522                                 0.9991388146842153+1.691835327243758E-9i
0.6909790545715645                                0.9991388146842428+1.841396811969584E-9i
0.752062926959241                                 0.9991388146842468+2.004179817445927E-9i
0.8185467307069029                                0.9991388146842557+2.181353152792275E-9i
0.8909078300934142                                0.9991388146842715+2.3741889488089486E-9i
0.9696657893145525                                0.9991388146843072+2.5840717979723122E-9i
1.0553861030365241                                0.9991388146843444+2.8125086939162924E-9i
1.1486842567375548                                0.999138814684361+3.061139847967342E-9i
1.250230145991456                                 0.9991388146844176+3.33175047099068E-9i
1.3607528864243346                                0.999138814684459+3.6262835898624217E-9i
1.4810460488806754                                0.9991388146845162+3.946853998553812E-9i
1.6119733573881587                                0.9991388146845925+4.2957634435833515E-9i
1.7544748908334598                                0.9991388146846656+4.6755171486295684E-9i
1.9095738328780987                                0.9991388146847479+5.088841804833858E-9i
2.0783838185797574                                0.999138814684897+5.538705148041284E-9i
2.2621169304690265                                0.9991388146850217+6.0283372647687096E-9i
2.462092401494628                                 0.9991388146851985+6.561253791945262E-9i
2.679746087325692                                 0.9991388146853875+7.141281148239396E-9i
2.9166407760237067                                0.9991388146856224+7.772584020662094E-9i
3.1744774091091936                                0.9991388146858986+8.459695258445563E-9i
3.4551072945922217                                0.9991388146862062+9.20754842170427E-9i
3.760545399658172                                 0.9991388146865811+1.0021513205276536E-8i
4.092984818452442                                 0.9991388146870456+1.0907433996213436E-8i
4.454812518844989                                 0.9991388146875734+1.1871671832106966E-8i
4.848626481239083                                 0.9991388146882133+1.2921150074159197E-8i
5.277254352483543                                 0.999138814688965+1.4063404115734834E-8i
5.7437737488265865                                0.9991388146898468+1.5306635492690388E-8i
6.251534353689718                                 0.9991388146909018+1.665977076420797E-8i
6.804181968927101                                 0.9991388146921446+1.813252560294561E-8i
7.405684692262442                                 0.9991388146936093+1.9735474554867302E-8i
8.060361408861345                                 0.9991388146953809+2.1480126957894083E-8i
8.772912801613366                                 0.9991388146974557+2.3379009585340947E-8i
9.548455102782302                                 0.9991388146999002+2.5445756567089303E-8i
10.39255682936713                                 0.9991388147028115+2.7695207286978773E-8i
11.311278765939225                                0.9991388147062681+3.0143512917240224E-8i
12.311217482038908                                0.9991388147103847+3.28082523665396E-8i
13.399552696593398                                0.9991388147152149+3.5708558487772006E-8i
14.584098829439863                                0.9991388147209471+3.8865255416981604E-8i
15.873361110102103                                0.9991388147277209+4.230100808018355E-8i
17.276596646690383                                0.999138814735777+4.6040484844699335E-8i
18.803880893409165                                0.9991388147453221+5.011053464983537E-8i
20.46617999391992                                 0.999138814756608+5.4540379654636754E-8i
22.275429519995587                                0.999138814769984+5.936182499966966E-8i
24.244620170823307                                0.9991388147858627+6.460948704567841E-8i
26.387891048289347                                0.9991388148046312+7.032104176012657E-8i
28.720631177978312                                0.9991388148268615+7.653749504338013E-8i
31.25959000482281                                 0.9991388148531881+8.330347690487644E-8i
34.02299765678071                                 0.9991388148843857+9.066756156125051E-8i
37.03069584005145                                 0.9991388149213559+9.868261581092562E-8i
40.30428030568055                                 0.9991388149651725+1.074061780515871E-7i
43.867255910485035                                0.9991388150170589+1.1690087070110918E-7i
47.745205385661315                                0.9991388150785542+1.2723484892118178E-7i
51.96597302486202                                 0.99913881515132+1.3848228884343607E-7i
56.55986461065008                                 0.9991388152375766+1.507239185406092E-7i
61.55986501483514                                 0.9991388153397389+1.6404759579182556E-7i
67.0018750350959                                  0.9991388154607761+1.7854893642522915E-7i
72.92496916841452                                 0.9991388156041515+1.9433199734937627E-7i
79.37167617217558                                 0.999138815773958+2.1151001981539477E-7i
86.38828442740453                                 0.9991388159751236+2.3020623683381836E-7i
94.02517429670142                                 0.999138816213455+2.5055475116107735E-7i
102.33717986325213                                0.9991388164957226+2.727014891252083E-7i
111.38398264826206                                0.999138816830091+2.9680523678552904E-7i
121.23054013376529                                0.9991388172262033+3.230387650791435E-7i
131.94755216767086                                0.9991388176953626+3.5159005123635434E-7i
143.61196859990804                                0.9991388182511215+3.8266360346278016E-7i
156.30754179458174                                0.9991388189093494+4.1648189784064344E-7i
170.1254279852589                                 0.999138819689027+4.5328693427467426E-7i
185.1648417912158                                 0.9991388206124878+4.933419216383123E-7i
201.53376859417352                                0.9991388217062356+5.369330994936783E-7i
219.34973989050602                                0.999138823001559+5.843717063824907E-7i
238.7406771860647                                 0.9991388245356521+6.35996102370448E-7i
259.84581049292524                                0.999138826352377+6.921740547934859E-7i
282.81667802300353                                0.9991388285036593+7.533051942113799E-7i
307.81821425650804                                0.9991388310509982+8.198236475969637E-7i
335.02993419772366                                0.9991388340669569+8.922008535459098E-7i
364.64722232127525                                0.999138837637499+9.709485592970061E-7i
396.8827354637166                                 0.9991388418641054+1.0566220031521943E-6i
431.96792973341735                                0.9991388468665842+1.1498232715967038E-6i
470.1547224022139                                 0.999138852786541+1.251204823823968E-6i
511.717300711461                                  0.9991388597909007+1.3614731626342719E-6i
556.9540905800136                                 0.9991388680765413+1.4813926251263559E-6i
606.1898993497584                                 0.9991388778755053+1.6117892555225345E-6i
659.7782479539546                                 0.9991388894608123+1.7535547044592518E-6i
718.1039092537357                                 0.9991389031535723+1.90765009257595E-6i
781.585670768409                                  0.9991389193310981+2.0751097457964743E-6i
850.679341636417                                  0.9991389384358065+2.257044701702428E-6i
925.8810253973965                                 0.9991389609863479+2.454645848890604E-6i
1007.7306820944617                                0.999138987589317+2.6691865466664645E-6i
1096.8160052731403                                0.9991390189533245+2.9020245286634936E-6i
1193.7766417144383                                0.9991390559046985+3.1546028638510396E-6i
1299.3087842004172                                0.9991390994053756+3.4284496813640626E-6i
1414.1701702890239                                0.9991391505734333+3.7251763099072213E-6i
1539.1855229902085                                0.9991392107062002+4.046473351745599E-6i
1675.2524724082173                                0.9991392813063931+4.394104071465773E-6i
1823.3480008684423                                0.9991393641121956+4.769894248171506E-6i
1984.5354578058032                                0.999139461130989+5.175717325665888E-6i
2159.9721947827215                                0.9991395746773062+5.613473314200284E-6i
2350.917875457289                                 0.9991397074151367+6.0850594154455565E-6i
2558.743520168589                                 0.9991398624038239+6.592329870525931E-6i
2784.94135008065                                  0.9991400431463152+7.137042060283582E-6i
3031.135501567582                                 0.9991402536379858+7.720785610232022E-6i
3299.0936877709423                                0.9991404984115256+8.344891214764513E-6i
3590.739891061055                                 0.9991407825737915+9.010316256512718E-6i
3908.168177536272                                 0.9991411118271111+9.717505121972653E-6i
4253.657732750392                                 0.9991414924667201+1.0466223581459952E-5i
4629.689226627268                                 0.99914193134459+1.1255368691563007E-5i
5038.962625065161                                 0.9991424357874261+1.2082758670392753E-5i
5484.416576121026                                 0.9991430134569806+1.2944911153032316E-5i
5969.249509970739                                 0.9991436721408041+1.3836823297521375E-5i
6496.942604146125                                 0.999144419461989+1.4751773369353073E-5i
7071.284778943011                                 0.9991452625037642+1.5681170204162617E-5i
7696.399902471167                                 0.9991462073496274+1.6614483407252054E-5i
8376.776400682924                                 0.999147258554565+1.7539291613197283E-5i
9117.29948498494                                  0.9991484185770364+1.8441486011503732E-5i
9923.286228832565                                 0.9991496872208175+1.930565924447467E-5i
10800.52374516254                                 0.9991510611537977+2.011569306956866E-5i
11755.310738783699                                0.999152533580247+2.085553186575819E-5i
12794.50273207876                                 0.9991540941448801+2.1510095176165637E-5i
13925.561288744648                                0.9991557291281093+2.206624740162597E-5i
15156.607589006044                                0.9991574219591588+2.2513715089929856E-5i
16496.48074098024                                 0.9991591540247716+2.284583181388735E-5i
17954.80124687834                                 0.9991609057009457+2.306000330139393E-5i
19542.040079740553                                0.9991626574921472+2.3157822401836774E-5i
21269.59386668692                                 0.9991643911427786+2.3144817020113233E-5i
23149.866718511657                                0.9991660905896926+2.3029871604448012E-5i
25196.359293170186                                0.9991677426575031+2.282441067231313E-5i
27423.765732649525                                0.9991693374447863+2.2541459438157247E-5i
29848.079169243334                                0.9991708684001008+2.219469925139405E-5i
32486.706558783815                                0.999172332130112+2.179761680278335E-5i
35358.59366535183                                 0.9991737280081171+2.136281448710738E-5i
38484.36109487433                                 0.999175057661972+2.0901514254421736E-5i
41886.4523543528                                  0.9991763244145413+2.042325643789324E-5i
45589.294999810685                                0.999177532736819+1.9935772674464848E-5i
49619.47603002908                                 0.9991786877548464+1.944499933126363E-5i
54005.93278542374                                 0.9991797948349823+1.895519351974302E-5i
58780.16072274924                                 0.9991808592566943+1.8469115449531078E-5i
63976.439557484366                                0.9991818859712182+1.7988246111857813E-5i
69632.0793976389                                  0.9991828794388036+1.7513016084066228E-5i
75787.68863625945                                 0.9991838435317961+1.7043027971407687E-5i
82487.46552614598                                 0.9991847814912024+1.657726113945224E-5i
89779.51553033332                                 0.9991856959241814+1.611425213305605E-5i
97716.19672696182                                 0.999186588830884+1.5652247902728505E-5i
106354.49574860134                                0.9991874616516968+1.5189331477280262E-5i
115756.43695533059                                0.9991883153269419+1.4723521316028048E-5i
125989.52777950285                                0.9991891503625008+1.4252846655730676E-5i
137127.24343984036                                0.9991899668977522+1.3775401558714927E-5i
149249.55450518322                                0.9991907647716046+1.328938063470839E-5i
162443.50109588687                                0.9991915435844178+1.2793099337707339E-5i
176803.81784572086                                0.999192302754744+1.2285001549432693E-5i
192433.6141115984                                 0.9991930415690442+1.1763657005888208E-5i
209445.1143151473                                 0.9991937592246684+1.1227750739002602E-5i
227960.4637318982                                 0.9991944548655362+1.0676066516345131E-5i
248112.60551377755                                0.999195127610553+1.0107465917053431E-5i
270046.23524206877                                0.9991957765758268+9.520864446585005E-6i
293918.83986468904                                0.9991964008896351+8.915205830904709E-6i
319901.8284775067                                 0.9991969997023109+8.289435394884244E-6i
348181.76306889736                                0.9991975721901898+7.642473255557228E-6i
378961.69806447235                                0.99919811755482+6.97318788429167E-6i
412462.63829013566                                0.999198635017643+6.280370402443785E-6i
448925.12582186074                                0.9991991238104174+5.56270989123618E-6i
488610.9671160336                                 0.9991995831618712+4.818769899694539E-6i
531805.1128214208                                 0.999200012280655+4.046966276660764E-6i
578817.703770128                                  0.9992004103342745+3.2455463611197603E-6i
629986.2978380707                                 0.9992007764247791+2.4125697269099134E-6i
685678.2936641752                                 0.9992011095598857+1.5458905387244413E-6i
746293.5686310144                                 0.9992014086202559+6.431418095507188E-7i
812267.350047972                                  0.999201672321835-2.982781588888231E-7i
884073.3401525081                                 0.9992018991727144-1.2812166128041435E-6i
962227.1173675155                                 0.9992020874245345-2.308773895685144E-6i
1047289.8382363617                                0.9992022350167741-3.3843067087015027E-6i
1139872.2666160525                                0.9992023395136745-4.511425896297148E-6i
1240639.1590588344                                0.9992023980331166-5.693987224254474E-6i
1350314.0378698776                                0.9992024071660331-6.93607288897956E-6i
1469684.3861124474                                0.9992023628866842-8.241961286677554E-6i
1599607.301861491                                 0.9992022604524807-9.616081739348292E-6i
1741015.6523040226                                0.9992020942943625-1.1062950320803197E-5i
1894924.7718738236                                0.9992018578979283-1.2587081997161614E-5i
2062439.752514097                                 0.9992015436772143-1.4192873495218133E-5i
2244763.3784132237                                0.9992011428436665-1.5884450088558572E-5i
2443204.762186492                                 0.9992006452761497-1.766546893543911E-5i
2659188.744512702                                 0.9992000393990951-1.953887040303627E-5i
2894266.1247167517                                0.9991993120804036-2.1506569217395204E-5i
3150124.795755334                                 0.9991984485656001-2.356907823939738E-5i
3428601.8635565974                                0.999197432468573-2.5725059888216556E-5i
3731696.8377327556                                0.9991962458460965-2.7970804857464586E-5i
4061585.988376988                                 0.999194869388034-3.0299645007476926E-5i
4420637.972028548                                 0.9991932827601189-3.270131709669566E-5i
4811430.839003264                                 0.9991914651387326-3.516130869543384E-5i
5236770.544204666                                 0.9991893959745464-3.766023578157852E-5i
5699711.094326075                                 0.9991870560137956-4.017332253359651E-5i
6203576.476104281                                 0.9991844285852909-4.267007665013877E-5i
