% Model:              20_4_e-6_MW_fixed_phi.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 28 2022, 10:20
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               Normalized effective conductivity
0.01                                              0.9989015457593144+4.4627520323283255E-9i
0.01088401916069006                               0.9989015457706405+4.857098157202686E-9i
0.011846187309026836                              0.9989015457840087+5.286255278773982E-9i
0.01289341296525715                               0.9989015457998522+5.7532882628376185E-9i
0.014033215376054847                              0.9989015458185981+6.261525778759801E-9i
0.01527377850390714                               0.9989015458408413+6.814587436906269E-9i
0.016624009789266127                              0.9989015458671586+7.4164047845218725E-9i
0.018093604107387164                              0.9989015458983238+8.071248822141458E-9i
0.01969311337907423                               0.9989015459352687+8.78375702350678E-9i
0.021434022335148566                              0.9989015459790114+9.558961685966756E-9i
0.023328830978641572                              0.998901546030849+1.0402321284094211E-8i
0.02539114433680347                               0.99890154609218+1.1319752777237881E-8i
0.027635770147361603                              0.9989015461648345+1.2317665803061171E-8i
0.03007882518043099                               0.9989015462507801+1.340299428599832E-8i
0.03273785095948577                               0.9989015463526263+1.4583235094899137E-8i
0.03563193971228586                               0.9989015464731693+1.5866482203555764E-8i
0.03878187145610724                               0.9989015466158268+1.7261459955625945E-8i
0.04221026320156901                               0.9989015467846896+1.8777552163708073E-8i
0.04594173134636476                               0.9989015469844669+2.0424833641026645E-8i
0.05000306842491095                               0.998901547220778+2.2214091024677387E-8i
0.054423435483002665                              0.9989015475003163+2.4156825636913414E-8i
0.05923457145875806                               0.9989015478308236+2.6265270189756014E-8i
0.06447102107323872                               0.998901548221406+2.8552356124854414E-8i
0.07017038286703829                               0.9989015486829014+3.103167078983293E-8i
0.07637357916378024                               0.9989015492278845+3.3717392888484446E-8i
0.08312514989890632                               0.9989015498709829+3.66241730324577E-8i
0.09047357242349298                               0.9989015506294958+3.976695975489377E-8i
0.09847160957933775                               0.9989015515233018+4.316077938863771E-8i
0.10717668854455034                               0.9989015525755768+4.682039460399382E-8i
0.11665131316981968                               0.9989015538130454+5.075989797888889E-8i
0.1269635127659974                                0.9989015552663956+5.4992166398703524E-8i
0.13818733056536328                               0.9989015569706353+5.952813978790744E-8i
0.15040335536380253                               0.9989015589654392+6.437597371200289E-8i
0.16369930016117026                               0.9989015612953699+6.953993173048066E-8i
0.17817063195457308                               0.9989015640100802+7.501913694991538E-8i
0.193921257206583                                 0.9989015671640519+8.08060270665592E-8i
0.21106426791015548                               0.9989015708160555+8.688464084243712E-8i
0.22972275360711536                               0.9989015750285872+9.322875730934653E-8i
0.25003068519063254                               0.998901579865977+9.979988006994431E-8i
0.2721338768375309                                0.9989015853924056+1.0654538668532916E-7i
0.2961910329772555                                0.9989015916693887+1.1339678230014494E-7i
0.32237488781490303                               0.9989015987517639+1.2026861968590904E-7i
0.35087344559027134                               0.9989016066831496+1.2705815947400432E-7i
0.3818913304781854                                0.9989016154913412+1.3364626084819356E-7i
0.4156512558225992                                0.9989016251826794+1.3989979884131406E-7i
0.45239562325380556                               0.9989016357373883+1.4567588588730875E-7i
0.49238826317067413                               0.9989016471051644+1.5082794990533608E-7i
0.5359163290848518                                0.9989016592027583+1.5521338727398313E-7i
0.5832923594286206                                0.9989016719142536+1.587023622026024E-7i
0.634856521630522                                 0.9989016850932942+1.611870178839548E-7i
0.6909790545715645                                0.9989016985690846+1.625896258530196E-7i
0.752062926959241                                 0.9989017121546412+1.6286911136930362E-7i
0.8185467307069029                                0.9989017256569105+1.6202461642807648E-7i
0.8909078300934142                                0.9989017388879637+1.600956231143381E-7i
0.9696657893145525                                0.9989017516749193+1.5715878144039012E-7i
1.0553861030365241                                0.9989017638686833+1.5332180103804668E-7i
1.1486842567375548                                0.9989017753501476+1.4871526225773798E-7i
1.250230145991456                                 0.9989017860328262+1.434835940924629E-7i
1.3607528864243346                                0.9989017958634797+1.3777619534167183E-7i
1.4810460488806754                                0.9989018048195963+1.3173958772287584E-7i
1.6119733573881587                                0.9989018129055942+1.2551122957291914E-7i
1.7544748908334598                                0.9989018201478074+1.1921511709093428E-7i
1.9095738328780987                                0.9989018265892236+1.1295917829117437E-7i
2.0783838185797574                                0.9989018322845733+1.0683427768122305E-7i
2.2621169304690265                                0.9989018372958317+1.0091442343896449E-7i
2.462092401494628                                 0.9989018416884756+9.525787939948483E-8i
2.679746087325692                                 0.9989018455283253+8.990879170265716E-8i
2.9166407760237067                                0.9989018488798097+8.489911693509627E-8i
3.1744774091091936                                0.9989018518043558+8.02506289684866E-8i
3.4551072945922217                                0.9989018543590285+7.597679522516281E-8i
3.760545399658172                                 0.9989018565969685+7.208457865875705E-8i
4.092984818452442                                 0.9989018585666815+6.857594800039509E-8i
4.454812518844989                                 0.9989018603121387+6.544917104494208E-8i
4.848626481239083                                 0.998901861873586+6.269995665484236E-8i
5.277254352483543                                 0.9989018632875079+6.03222567275186E-8i
5.7437737488265865                                0.9989018645875181+5.8308980297579367E-8i
6.251534353689718                                 0.9989018658044742+5.665247430933325E-8i
6.804181968927101                                 0.9989018669674035+5.5344845387145895E-8i
7.405684692262442                                 0.9989018681039219+5.437816042796082E-8i
8.060361408861345                                 0.9989018692408528+5.3744509995947945E-8i
8.772912801613366                                 0.9989018704045408+5.343591345024345E-8i
9.548455102782302                                 0.9989018716213292+5.3444152467164426E-8i
10.39255682936713                                 0.9989018729181889+5.376045418995614E-8i
11.311278765939225                                0.9989018743228173+5.4375058155293E-8i
12.311217482038908                                0.9989018758640946+5.527669669884459E-8i
13.399552696593398                                0.998901877571832+5.6451916503531866E-8i
14.584098829439863                                0.9989018794770662+5.788435533994312E-8i
15.873361110102103                                0.9989018816118347+5.955390528777014E-8i
17.276596646690383                                0.9989018840082284+6.143586619605968E-8i
18.803880893409165                                0.9989018866981136+6.350010046392881E-8i
20.46617999391992                                 0.9989018897115778+6.571032228056726E-8i
22.275429519995587                                0.9989018930761483+6.802358033693676E-8i
24.244620170823307                                0.9989018968142177+7.039005959527636E-8i
26.387891048289347                                0.9989019009416997+7.275339086473862E-8i
28.720631177978312                                0.9989019054657553+7.505147980908698E-8i
31.25959000482281                                 0.9989019103829121+7.721807708152701E-8i
34.02299765678071                                 0.9989019156772407+7.918496975137202E-8i
37.03069584005145                                 0.9989019213193725+8.088484821736147E-8i
40.30428030568055                                 0.9989019272661689+8.225456231404882E-8i
