% Model:              abc_20_4_0,8e-6_MW - Kopie.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 28 2022, 10:52
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               Normalized effective conductivity
0.01                                              0.9988909707287981+5.9735886711491726E-9i
0.01088401916069006                               0.9988909707553579+6.500962806662924E-9i
0.011846187309026836                              0.9988909707868423+7.074754216842168E-9i
0.01289341296525715                               0.9988909708241508+7.699007781377459E-9i
0.014033215376054847                              0.9988909708682436+8.378109230706588E-9i
0.01527377850390714                               0.9988909709205231+9.116809462205891E-9i
0.016624009789266127                              0.9988909709823732+9.920252589120591E-9i
0.018093604107387164                              0.998890971055646+1.0793998527475683E-8i
0.01969311337907423                               0.9988909711423659+1.1744057017652417E-8i
0.021434022335148566                              0.9988909712450554+1.2776904470352952E-8i
0.023328830978641572                              0.9988909713665595+1.3899515205585767E-8i
0.02539114433680347                               0.9988909715103453+1.5119384632642467E-8i
0.027635770147361603                              0.998890971680471+1.6444537138945095E-8i
0.03007882518043099                               0.9988909718816604+1.7883555487336324E-8i
0.03273785095948577                               0.9988909721195434+1.9445562387659647E-8i
0.03563193971228586                               0.9988909724007693+2.1140223101286848E-8i
0.03878187145610724                               0.9988909727331508+2.297772645443365E-8i
0.04221026320156901                               0.9988909731256143+2.496872757181299E-8i
0.04594173134636476                               0.9988909735889643+2.7124267592689584E-8i
0.05000306842491095                               0.9988909741355123+2.9455667926053067E-8i
0.054423435483002665                              0.9988909747797405+3.1974371101040524E-8i
0.05923457145875806                               0.9988909755384522+3.469171301135259E-8i
0.06447102107323872                               0.9988909764311011+3.76186316730125E-8i
0.07017038286703829                               0.9988909774798767+4.076528485880407E-8i
0.07637357916378024                               0.9988909787104218+4.414055728631115E-8i
0.08312514989890632                               0.9988909801517007+4.775143014009145E-8i
0.09047357242349298                               0.998890981836394+5.160223221539414E-8i
0.09847160957933775                               0.9988909838010107+5.5693703137862954E-8i
0.10717668854455034                               0.998890986085818+6.002188361348291E-8i
0.11665131316981968                               0.998890988734592+6.457687676398846E-8i
0.1269635127659974                                0.998890991793882+6.93414631083044E-8i
0.13818733056536328                               0.9988909953124107+7.42895717099052E-8i
0.15040335536380253                               0.9988909993392234+7.938483787150107E-8i
0.16369930016117026                               0.9988910039220031+8.45792241552236E-8i
0.17817063195457308                               0.9988910091043792+8.981201086452372E-8i
0.193921257206583                                 0.9988910149227562+9.500933476340612E-8i
0.21106426791015548                               0.9988910214025711+1.000845168369016E-7i
0.22972275360711536                               0.9988910285543529+1.0493956184153083E-7i
0.25003068519063254                               0.9988910363699208+1.0946777119270041E-7i
0.2721338768375309                                0.9988910448185622+1.1355809796372807E-7i
0.2961910329772555                                0.9988910538453978+1.1710046949843642E-7i
0.32237488781490303                               0.998891063370146+1.1999234670632703E-7i
0.35087344559027134                               0.9988910732884856+1.221456251738491E-7i
0.3818913304781854                                0.9988910834760095+1.2349326698001592E-7i
0.4156512558225992                                0.9988910937937135+1.239947189426179E-7i
0.45239562325380556                               0.9988911040953664+1.236394001202753E-7i
0.49238826317067413                               0.9988911142358923+1.2244771210156738E-7i
0.5359163290848518                                0.9988911240792326+1.2046937597489543E-7i
0.5832923594286206                                0.9988911335056797+1.1777943447347589E-7i
0.634856521630522                                 0.998891142416819+1.1447250279213963E-7i
0.6909790545715645                                0.9988911507389138+1.1065598262001604E-7i
0.752062926959241                                 0.9988911584232919+1.0644319290681472E-7i
0.8185467307069029                                0.9988911654457365+1.0194706490452303E-7i
0.8909078300934142                                0.9988911718033837+9.727504887170624E-8i
0.9696657893145525                                0.9988911775115689+9.252529861919434E-8i
1.0553861030365241                                0.9988911825992772+8.778420305546306E-8i
1.1486842567375548                                0.9988911871059669+8.312538785009639E-8i
1.250230145991456                                 0.9988911910774049+7.860943673053007E-8i
1.3607528864243346                                0.9988911945629676+7.428471839082421E-8i
1.4810460488806754                                0.9988911976130862+7.018837286096465E-8i
1.6119733573881587                                0.9988912002775443+6.634782456331431E-8i
1.7544748908334598                                0.9988912026040478+6.278223321617792E-8i
1.9095738328780987                                0.998891204637481+5.950401664417009E-8i
2.0783838185797574                                0.9988912064195329+5.652020929867214E-8i
2.2621169304690265                                0.9988912079885193+5.383367408163774E-8i
2.462092401494628                                 0.9988912093794912+5.1444188867385436E-8i
2.679746087325692                                 0.9988912106240506+4.934929044170747E-8i
2.9166407760237067                                0.9988912117515067+4.7545015944152595E-8i
3.1744774091091936                                0.9988912127883935+4.6026434051711544E-8i
3.4551072945922217                                0.9988912137592056+4.478808462380834E-8i
3.760545399658172                                 0.9988912146870328+4.3824239329532976E-8i
4.092984818452442                                 0.9988912155938156+4.312909960912658E-8i
4.454812518844989                                 0.9988912165004413+4.2696847295559073E-8i
4.848626481239083                                 0.9988912174277167+4.252163410941454E-8i
5.277254352483543                                 0.9988912183963815+4.2597438979646525E-8i
5.7437737488265865                                0.9988912194274673+4.291784838408235E-8i
6.251534353689718                                 0.9988912205427056+4.3475762386658915E-8i
6.804181968927101                                 0.9988912217644113+4.4262960591423985E-8i
7.405684692262442                                 0.9988912231159603+4.5269637571645656E-8i
8.060361408861345                                 0.998891224621675+4.648381454620817E-8i
8.772912801613366                                 0.9988912263063863+4.7890709647732783E-8i
9.548455102782302                                 0.9988912281954608+4.947207138009928E-8i
10.39255682936713                                 0.9988912303138996+5.120552347559384E-8i
11.311278765939225                                0.9988912326857802+5.306397042438266E-8i
12.311217482038908                                0.9988912353329681+5.501517675536372E-8i
13.399552696593398                                0.9988912382737525+5.702157618976846E-8i
14.584098829439863                                0.9988912415216439+5.9040430497878855E-8i
15.873361110102103                                0.9988912450835437+6.10244523123736E-8i
17.276596646690383                                0.998891248958013+6.292292377243475E-8i
18.803880893409165                                0.9988912531341646+6.468339457462146E-8i
20.46617999391992                                 0.9988912575907346+6.625385256459815E-8i
22.275429519995587                                0.9988912622956339+6.758528681483563E-8i
24.244620170823307                                0.9988912672063895+6.863443432865387E-8i
26.387891048289347                                0.9988912722713861+6.936640946762921E-8i
28.720631177978312                                0.998891277432137+6.975697884579738E-8i
31.25959000482281                                 0.9988912826260367+6.979418550103851E-8i
34.02299765678071                                 0.9988912877889626+6.94790991945671E-8i
