% Model:              abc_5_1_0.2e-6_MW - Kopie.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 29 2022, 10:55
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               Normalized effective conductivity
0.01                                              0.9988963339649453+1.3190458722292672E-9i
0.01088401916069006                               0.9988963339653221+1.4356514560279056E-9i
0.011846187309026836                              0.9988963339657791+1.5625650520865891E-9i
0.01289341296525715                               0.9988963339662773+1.7006977645220728E-9i
0.014033215376054847                              0.9988963339669092+1.8510414085855554E-9i
0.01527377850390714                               0.9988963339675974+2.014675315900177E-9i
0.016624009789266127                              0.9988963339684408+2.1927742808507095E-9i
0.018093604107387164                              0.9988963339694619+2.386616926670673E-9i
0.01969311337907423                               0.9988963339706803+2.5975948885779318E-9i
0.021434022335148566                              0.9988963339720979+2.8272226179127828E-9i
0.023328830978641572                              0.9988963339737958+3.07714848776081E-9i
0.02539114433680347                               0.9988963339757878+3.349166670671915E-9i
0.027635770147361603                              0.9988963339781958+3.6452294782555307E-9i
0.03007882518043099                               0.9988963339809402+3.967461939054458E-9i
0.03273785095948577                               0.9988963339842403+4.318176698679043E-9i
0.03563193971228586                               0.9988963339881836+4.6998903475917E-9i
0.03878187145610724                               0.9988963339928744+5.115342128951991E-9i
0.04221026320156901                               0.9988963339983125+5.567512954820892E-9i
0.04594173134636476                               0.9988963340048704+6.059646046567392E-9i
0.05000306842491095                               0.9988963340125936+6.59527146401659E-9i
0.054423435483002665                              0.99889633402175+7.178230018097991E-9i
0.05923457145875806                               0.9988963340326221+7.812701561442196E-9i
0.06447102107323872                               0.9988963340454831+8.503233098878391E-9i
0.07017038286703829                               0.998896334060702+9.254772363399957E-9i
0.07637357916378024                               0.9988963340787599+1.0072702139422681E-8i
0.08312514989890632                               0.998896334100142+1.0962877727504223E-8i
0.09047357242349298                               0.9988963341254624+1.1931668435029478E-8i
0.09847160957933775                               0.9988963341554361+1.2986001386326094E-8i
0.10717668854455034                               0.9988963341909824+1.4133408743930435E-8i
0.11665131316981968                               0.9988963342330599+1.5382082216804407E-8i
0.1269635127659974                                0.9988963342829283+1.674092407578911E-8i
0.13818733056536328                               0.9988963343419678+1.8219611723504017E-8i
0.15040335536380253                               0.9988963344119576+1.982865960339083E-8i
0.16369930016117026                               0.9988963344947799+2.157948614269535E-8i
0.17817063195457308                               0.9988963345928817+2.3484493468212644E-8i
0.193921257206583                                 0.9988963347090223+2.555713741299599E-8i
0.21106426791015548                               0.998896334846636+2.7812016085246256E-8i
0.22972275360711536                               0.9988963350095279+3.0264953321201215E-8i
0.25003068519063254                               0.9988963352025563+3.293308941017366E-8i
0.2721338768375309                                0.9988963354310113+3.583497434954144E-8i
0.2961910329772555                                0.9988963357014284+3.899065888780358E-8i
0.32237488781490303                               0.9988963360216769+4.242179376940383E-8i
0.35087344559027134                               0.99889633640062+4.615171732007936E-8i
0.3818913304781854                                0.99889633684916+5.020554453729702E-8i
0.4156512558225992                                0.998896337379803+5.46102304486324E-8i
0.45239562325380556                               0.99889633800765+5.93946427999272E-8i
0.49238826317067413                               0.9988963387502123+6.458958408651332E-8i
0.5359163290848518                                0.9988963396281741+7.022780254305646E-8i
0.5832923594286206                                0.9988963406658358+7.634393226991068E-8i
0.634856521630522                                 0.9988963418918813+8.297439883829484E-8i
0.6909790545715645                                0.9988963433396696+9.015721331452552E-8i
0.752062926959241                                 0.9988963450483632+9.793167096193444E-8i
0.8185467307069029                                0.9988963470635297+1.063379229727839E-7i
0.8909078300934142                                0.9988963494383853+1.1541633736061444E-7i
0.9696657893145525                                0.9988963522344797+1.25206668026699E-7i
1.0553861030365241                                0.9988963555227672+1.3574694411276434E-7i
1.1486842567375548                                0.9988963593848429+1.4707198611410022E-7i
1.250230145991456                                 0.9988963639139583+1.5921158691310595E-7i
1.3607528864243346                                0.9988963692157257+1.7218817357286167E-7i
1.4810460488806754                                0.9988963754088545+1.8601395562753228E-7i
1.6119733573881587                                0.9988963826256241+2.0068753598722665E-7i
1.7544748908334598                                0.9988963910110207+2.161898424344987E-7i
1.9095738328780987                                0.9988964007219018+2.3247962432242334E-7i
2.0783838185797574                                0.9988964119248424+2.4948837368412476E-7i
2.2621169304690265                                0.9988964247916048+2.6711510809835E-7i
2.462092401494628                                 0.9988964394943904+2.8522126870563467E-7i
2.679746087325692                                 0.9988964561976604+3.03626223496357E-7i
2.9166407760237067                                0.9988964750487511+3.221041332874138E-7i
3.1744774091091936                                0.9988964961660055+3.4038308349020777E-7i
3.4551072945922217                                0.9988965196254975+3.5814733380679293E-7i
3.760545399658172                                 0.9988965454469754+3.750436173246188E-7i
4.092984818452442                                 0.9988965735806312+3.9069221744321487E-7i
4.454812518844989                                 0.9988966038958172+4.0470290649208874E-7i
4.848626481239083                                 0.9988966361747753+4.166953862555869E-7i
5.277254352483543                                 0.9988966701116225+4.2632264922885755E-7i
5.7437737488265865                                0.99889670531971+4.332953401360274E-7i
6.251534353689718                                 0.9988967413466239+4.3740391816434473E-7i
6.804181968927101                                 0.9988967776957584+4.385359923628113E-7i
7.405684692262442                                 0.9988968138538665+4.366861350328657E-7i
8.060361408861345                                 0.9988968493199809+4.319566978990389E-7i
8.772912801613366                                 0.9988968836325934+4.2454947086011866E-7i
9.548455102782302                                 0.998896916393507+4.1474964026265025E-7i
10.39255682936713                                 0.9988969472836451+4.029040636091652E-7i
11.311278765939225                                0.998896976071325+3.893973005676238E-7i
12.311217482038908                                0.9988970026132804+3.74627730676647E-7i
13.399552696593398                                0.9988970268488668+3.589866255876476E-7i
14.584098829439863                                0.9988970487894396+3.428413157680568E-7i
15.873361110102103                                0.9988970685056479+3.265233410105681E-7i
17.276596646690383                                0.9988970861129791+3.1032135386921497E-7i
18.803880893409165                                0.9988971017584691+2.9447832317673023E-7i
20.46617999391992                                 0.9988971156088564+2.7919194241257954E-7i
22.275429519995587                                0.9988971278402089+2.646175713445008E-7i
24.244620170823307                                0.9988971386303139+2.5087249932561395E-7i
26.387891048289347                                0.9988971481526342+2.3804110479262933E-7i
28.720631177978312                                0.9988971565723384+2.2618012706142364E-7i
31.25959000482281                                 0.9988971640440611+2.15323841981212E-7i
34.02299765678071                                 0.9988971707103916+2.0548870434642182E-7i
37.03069584005145                                 0.9988971767016822+1.9667752932271928E-7i
40.30428030568055                                 0.9988971821361436+1.888830468016317E-7i
43.867255910485035                                0.9988971871211199+1.820908586842185E-7i
47.745205385661315                                0.998897191753696+1.7628177644287533E-7i
51.96597302486202                                 0.9988971961225604+1.7143375668115302E-7i
56.55986461065008                                 0.9988972003088054+1.6752323196055373E-7i
61.55986501483514                                 0.9988972043880513+1.645261016582609E-7i
67.0018750350959                                  0.9988972084313823+1.624183310729602E-7i
72.92496916841452                                 0.9988972125070664+1.6117616657227725E-7i
79.37167617217558                                 0.9988972166817243+1.6077603821337844E-7i
86.38828442740453                                 0.9988972210217215+1.6119414584801117E-7i
94.02517429670142                                 0.998897225594144+1.624057141395535E-7i
102.33717986325213                                0.9988972304678483+1.6438392841656816E-7i
111.38398264826206                                0.9988972357140252+1.6709859039959073E-7i
121.23054013376529                                0.9988972414065459+1.7051443319470031E-7i
131.94755216767086                                0.9988972476218814+1.7458923673001673E-7i
143.61196859990804                                0.9988972544385226+1.792716978028079E-7i
156.30754179458174                                0.9988972619357072+1.844992533685708E-7i
170.1254279852589                                 0.9988972701912168+1.9019595132904027E-7i
185.1648417912158                                 0.9988972792788071+1.9627062749662573E-7i
201.53376859417352                                0.9988972892642075+2.026156350470255E-7i
219.34973989050602                                0.9988973002011982+2.0910648629567978E-7i
238.7406771860647                                 0.9988973121258106+2.1560268224441875E-7i
259.84581049292524                                0.9988973250518429+2.2195010981512198E-7i
282.81667802300353                                0.9988973389652986+2.279851408994607E-7i
307.81821425650804                                0.9988973538206568+2.3354052256389723E-7i
335.02993419772366                                0.9988973695382417+2.384528078488343E-7i
