% Model:              random_surface_grain_N_var_MW_fixed_phi.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 24 2022, 10:16
% Table:              N = 20, b = 1, w/ MW - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               N 10 b 1.1
0.01                                              0.9989649500714928+7.367464606035643E-10i
0.01088401916069006                               0.998964950071546+8.018762315923554E-10i
0.011846187309026836                              0.9989649500715987+8.72763591946418E-10i
0.01289341296525715                               0.998964950071662+9.49917531892914E-10i
0.014033215376054847                              0.9989649500717627+1.0338920071808408E-9i
0.01527377850390714                               0.9989649500718828+1.1252899695085133E-9i
0.016624009789266127                              0.9989649500720228+1.2247676663106354E-9i
0.018093604107387164                              0.9989649500721237+1.333039363796553E-9i
0.01969311337907423                               0.9989649500723308+1.45088244774536E-9i
0.021434022335148566                              0.9989649500725429+1.5791430466081454E-9i
0.023328830978641572                              0.9989649500727915+1.7187420634744103E-9i
0.02539114433680347                               0.9989649500730763+1.87068184546159E-9i
0.027635770147361603                              0.9989649500734608+2.0360532870469038E-9i
0.03007882518043099                               0.9989649500738788+2.2160437638238065E-9i
0.03273785095948577                               0.9989649500743933+2.411945601779364E-9i
0.03563193971228586                               0.9989649500749836+2.6251653166581074E-9i
0.03878187145610724                               0.9989649500756788+2.857233824568573E-9i
0.04221026320156901                               0.9989649500765052+3.1098172988821927E-9i
0.04594173134636476                               0.998964950077454+3.3847292291185405E-9i
0.05000306842491095                               0.9989649500786381+3.6839433182311875E-9i
0.054423435483002665                              0.9989649500800495+4.009607839896453E-9i
0.05923457145875806                               0.9989649500816689+4.36406081751086E-9i
0.06447102107323872                               0.9989649500835501+4.7498469132500325E-9i
0.07017038286703829                               0.9989649500859378+5.169735741184698E-9i
0.07637357916378024                               0.998964950088636+5.626741576724166E-9i
0.08312514989890632                               0.9989649500918184+6.124145098373241E-9i
0.09047357242349298                               0.9989649500956427+6.665516819125418E-9i
0.09847160957933775                               0.9989649501001518+7.254742659137531E-9i
0.10717668854455034                               0.9989649501055013+7.89605173602676E-9i
0.11665131316981968                               0.9989649501118257+8.594046870321065E-9i
0.1269635127659974                                0.9989649501193884+9.353737157104923E-9i
0.13818733056536328                               0.9989649501283037+1.0180573955818125E-8i
0.15040335536380253                               0.9989649501389228+1.1080489827340413E-8i
0.16369930016117026                               0.9989649501513808+1.2059940730065608E-8i
0.17817063195457308                               0.9989649501661698+1.3125952167624332E-8i
0.193921257206583                                 0.9989649501837035+1.4286169207875735E-8i
0.21106426791015548                               0.9989649502044187+1.5548910447082373E-8i
0.22972275360711536                               0.9989649502290269+1.6923227417629533E-8i
0.25003068519063254                               0.9989649502582489+1.841896820012056E-8i
0.2721338768375309                                0.9989649502927659+2.004684716076832E-8i
0.2961910329772555                                0.9989649503336383+2.18185199410387E-8i
0.32237488781490303                               0.9989649503820975+2.374666538467424E-8i
0.35087344559027134                               0.9989649504394789+2.584507348974449E-8i
0.3818913304781854                                0.9989649505074907+2.8128741483460562E-8i
0.4156512558225992                                0.998964950587991+3.0613975884407456E-8i
0.45239562325380556                               0.9989649506833731+3.331850493855263E-8i
0.49238826317067413                               0.998964950796337+3.6261598048135064E-8i
0.5359163290848518                                0.9989649509301499+3.9464193440375765E-8i
0.5832923594286206                                0.9989649510885708+4.2949037903213034E-8i
0.634856521630522                                 0.9989649512762941+4.674083241542525E-8i
0.6909790545715645                                0.9989649514986001+5.086638982066564E-8i
0.752062926959241                                 0.9989649517618169+5.535480083314461E-8i
0.8185467307069029                                0.9989649520735429+6.023760679707787E-8i
0.8909078300934142                                0.9989649524426358+6.554898708894283E-8i
0.9696657893145525                                0.9989649528796576+7.132594122319115E-8i
1.0553861030365241                                0.9989649533970395+7.760849001159294E-8i
1.1486842567375548                                0.9989649540095004+8.443986288191163E-8i
1.250230145991456                                 0.9989649547344173+9.186669434890272E-8i
1.3607528864243346                                0.9989649555923704+9.993920570106033E-8i
1.4810460488806754                                0.9989649566073425+1.0871136847977447E-7i
1.6119733573881587                                0.9989649578081644+1.1824104651547818E-7i
1.7544748908334598                                0.998964959228232+1.285900921377921E-7i
1.9095738328780987                                0.9989649609072404+1.3982438453056157E-7i
2.0783838185797574                                0.9989649628917612+1.5201379178564014E-7i
2.2621169304690265                                0.9989649652362678+1.6523201452927167E-7i
2.462092401494628                                 0.9989649680049578+1.7955628858238434E-7i
2.679746087325692                                 0.9989649712726715+1.9506689372408203E-7i
2.9166407760237067                                0.9989649751269623+2.1184640627503125E-7i
3.1744774091091936                                0.9989649796697642+2.299786318615894E-7i
3.4551072945922217                                0.99896498501939+2.495471371522493E-7i
3.760545399658172                                 0.998964991312761+2.706332544957659E-7i
4.092984818452442                                 0.9989649987075112+2.933134817186752E-7i
4.454812518844989                                 0.9989650073844474+3.17656110180645E-7i
4.848626481239083                                 0.9989650175493282+3.43716954464225E-7i
5.277254352483543                                 0.9989650294346297+3.7153405457439843E-7i
5.7437737488265865                                0.998965043300761+4.01121214476795E-7i
6.251534353689718                                 0.9989650594360281+4.3246034995134335E-7i
6.804181968927101                                 0.9989650781550924+4.654924747001009E-7i
7.405684692262442                                 0.9989650997957673+5.001078400014311E-7i
8.060361408861345                                 0.9989651247128948+5.361349887469473E-7i
8.772912801613366                                 0.9989651532687718+5.733298424214021E-7i
9.548455102782302                                 0.9989651858200674+6.113653050395998E-7i
10.39255682936713                                 0.9989652226998641+6.498228729280779E-7i
11.311278765939225                                0.9989652641957649+6.8818774145609E-7i
12.311217482038908                                0.9989653105235328+7.258493618623584E-7i
13.399552696593398                                0.9989653617987331+7.621093840809936E-7i
14.584098829439863                                0.9989654180071806+7.961988465303788E-7i
15.873361110102103                                0.9989654789787327+8.273054616981107E-7i
17.276596646690383                                0.99896554436744+8.546110683962275E-7i
18.803880893409165                                0.9989656136423039+8.773373151540335E-7i
20.46617999391992                                 0.9989656860926485+8.947959778903151E-7i
22.275429519995587                                0.9989657608494594+9.064386788537018E-7i
24.244620170823307                                0.9989658369231249+9.118998355029765E-7i
26.387891048289347                                0.9989659132543879+9.110268428707984E-7i
