% Model:              random_surface_grain_b_var_MW_fixed_phi.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 24 2022, 09:12
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               N 50, b 1.75
0.01                                              0.9989869598138034+7.096075852122321E-10i
0.01088401916069006                               0.9989869598138431+7.723382603605084E-10i
0.011846187309026836                              0.9989869598139127+8.406144126546513E-10i
0.01289341296525715                               0.9989869598139819+9.149262808675437E-10i
0.014033215376054847                              0.9989869598140546+9.958074810526068E-10i
0.01527377850390714                               0.9989869598141399+1.0838386983656347E-9i
0.016624009789266127                              0.998986959814289+1.1796520647771178E-9i
0.018093604107387164                              0.9989869598144261+1.2839354501218528E-9i
0.01969311337907423                               0.998986959814628+1.3974376833795304E-9i
0.021434022335148566                              0.9989869598148211+1.5209736978430923E-9i
0.023328830978641572                              0.9989869598150066+1.6554304563948625E-9i
0.02539114433680347                               0.9989869598152986+1.8017734193065753E-9i
0.027635770147361603                              0.998986959815626+1.9610532511149735E-9i
0.03007882518043099                               0.9989869598160277+2.1344136460422876E-9i
0.03273785095948577                               0.9989869598164529+2.3230993871121565E-9i
0.03563193971228586                               0.9989869598170142+2.5284649850677754E-9i
0.03878187145610724                               0.9989869598176184+2.751985107048679E-9i
0.04221026320156901                               0.9989869598184246+2.995264577446975E-9i
0.04594173134636476                               0.9989869598192866+3.2600500398107827E-9i
0.05000306842491095                               0.9989869598203476+3.5482426377065883E-9i
0.054423435483002665                              0.9989869598216208+3.86191117576387E-9i
0.05923457145875806                               0.998986959823142+4.2033080278545406E-9i
0.06447102107323872                               0.9989869598249105+4.5748840491537E-9i
0.07017038286703829                               0.9989869598270196+4.979306654115004E-9i
0.07637357916378024                               0.9989869598295457+5.41947933992156E-9i
0.08312514989890632                               0.9989869598324741+5.898561772532539E-9i
0.09047357242349298                               0.9989869598359856+6.419993429742407E-9i
0.09847160957933775                               0.9989869598401173+6.98751691790636E-9i
0.10717668854455034                               0.9989869598450405+7.605205639688566E-9i
0.11665131316981968                               0.9989869598508384+8.277493238045205E-9i
0.1269635127659974                                0.9989869598577708+9.009204679102826E-9i
0.13818733056536328                               0.9989869598659703+9.805590503850429E-9i
0.15040335536380253                               0.9989869598757327+1.0672365382173131E-8i
0.16369930016117026                               0.9989869598871802+1.1615748254743007E-8i
0.17817063195457308                               0.9989869599007561+1.2642505823291537E-8i
0.193921257206583                                 0.9989869599167679+1.3760003308759578E-8i
0.21106426791015548                               0.9989869599358565+1.4976253185444304E-8i
0.22972275360711536                               0.998986959958466+1.6299975910654957E-8i
0.25003068519063254                               0.9989869599852519+1.7740658399255236E-8i
0.2721338768375309                                0.9989869600169295+1.930862279185123E-8i
0.2961910329772555                                0.9989869600544872+2.101509845645002E-8i
0.32237488781490303                               0.9989869600989727+2.287230189416545E-8i
0.35087344559027134                               0.998986960151589+2.489352010479627E-8i
0.3818913304781854                                0.9989869602140632+2.7093204998313957E-8i
0.4156512558225992                                0.9989869602879343+2.9487071408614845E-8i
0.45239562325380556                               0.9989869603754801+3.209220609348207E-8i
0.49238826317067413                               0.9989869604792115+3.4927184062149995E-8i
0.5359163290848518                                0.9989869606020525+3.801219002661832E-8i
0.5832923594286206                                0.9989869607475015+4.136915946321025E-8i
0.634856521630522                                 0.9989869609198477+4.502191430164063E-8i
0.6909790545715645                                0.9989869611239487+4.899632137203137E-8i
0.752062926959241                                 0.9989869613655903+5.332045116164507E-8i
0.8185467307069029                                0.9989869616517749+5.8024754278384677E-8i
0.8909078300934142                                0.9989869619907047+6.314223395582889E-8i
0.9696657893145525                                0.9989869623920001+6.87086448973734E-8i
1.0553861030365241                                0.9989869628670545+7.476267475937305E-8i
1.1486842567375548                                0.9989869634295184+8.134614993198852E-8i
1.250230145991456                                 0.9989869640952401+8.850422411919494E-8i
1.3607528864243346                                0.9989869648831419+9.628557610986939E-8i
1.4810460488806754                                0.9989869658155218+1.0474258821637671E-7i
1.6119733573881587                                0.998986966918621+1.1393149272098134E-7i
1.7544748908334598                                0.9989869682234065+1.2391251521636246E-7i
1.9095738328780987                                0.9989869697662294+1.347499376410928E-7i
2.0783838185797574                                0.9989869715902532+1.465121095526084E-7i
2.2621169304690265                                0.9989869737456278+1.592713705216815E-7i
2.462092401494628                                 0.9989869762915924+1.7310383568814584E-7i
2.679746087325692                                 0.9989869792974473+1.880890110538373E-7i
2.9166407760237067                                0.9989869828441935+2.0430920925379587E-7i
3.1744774091091936                                0.998986987026372+2.2184865536851165E-7i
3.4551072945922217                                0.9989869919538352+2.407922623853174E-7i
3.760545399658172                                 0.9989869977541791+2.612239237625051E-7i
4.092984818452442                                 0.9989870045745503+2.8322425804763994E-7i
