% Model:              random_surface_grain_b_var_MW_fixed_phi.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 24 2022, 08:14
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               N 50, b 1
0.01                                              0.9989155181357037+8.979606829812835E-10i
0.01088401916069006                               0.9989155181357743+9.77342062710296E-10i
0.011846187309026836                              0.9989155181358654+1.0637409079014579E-9i
0.01289341296525715                               0.9989155181360355+1.157777539293253E-9i
0.014033215376054847                              0.9989155181361745+1.2601271679413864E-9i
0.01527377850390714                               0.9989155181363716+1.3715246574517948E-9i
0.016624009789266127                              0.998915518136591+1.4927698527626178E-9i
0.018093604107387164                              0.9989155181368458+1.6247332963657407E-9i
0.01969311337907423                               0.9989155181371834+1.7683624658252818E-9i
0.021434022335148566                              0.9989155181375095+1.9246886600741048E-9i
0.023328830978641572                              0.9989155181379546+2.0948342206639966E-9i
0.02539114433680347                               0.9989155181385018+2.280020825964807E-9i
0.027635770147361603                              0.9989155181390859+2.4815780678180844E-9i
0.03007882518043099                               0.9989155181398013+2.7009530665155018E-9i
0.03273785095948577                               0.9989155181406539+2.9397208708667345E-9i
0.03563193971228586                               0.9989155181416718+3.199595734961436E-9i
0.03878187145610724                               0.9989155181428896+3.4824434288309196E-9i
0.04221026320156901                               0.9989155181442786+3.790294662394118E-9i
0.04594173134636476                               0.998915518145977+4.125359491046818E-9i
0.05000306842491095                               0.9989155181479327+4.490043379338694E-9i
0.054423435483002665                              0.9989155181502961+4.886964369077353E-9i
0.05923457145875806                               0.9989155181530972+5.31897178277599E-9i
0.06447102107323872                               0.9989155181564331+5.789166679162728E-9i
0.07017038286703829                               0.9989155181603069+6.300924153726294E-9i
0.07637357916378024                               0.9989155181649921+6.857917357098207E-9i
0.08312514989890632                               0.9989155181704849+7.464143881911619E-9i
0.09047357242349298                               0.998915518176966+8.123954305635837E-9i
0.09847160957933775                               0.9989155181847105+8.84208329861577E-9i
0.10717668854455034                               0.9989155181938465+9.623683520758125E-9i
0.11665131316981968                               0.9989155182046722+1.0474362292223339E-8i
0.1269635127659974                                0.9989155182174964+1.1400221453122375E-8i
0.13818733056536328                               0.9989155182327136+1.2407900999216727E-8i
0.15040335536380253                               0.9989155182508592+1.3504626084912898E-8i
0.16369930016117026                               0.9989155182721399+1.4698258358716977E-8i
0.17817063195457308                               0.9989155182974084+1.5997351397517165E-8i
0.193921257206583                                 0.9989155183272991+1.741121121012069E-8i
0.21106426791015548                               0.998915518362739+1.8949961438006565E-8i
0.22972275360711536                               0.9989155184047668+2.062461439527155E-8i
0.25003068519063254                               0.9989155184545948+2.2447148313761753E-8i
0.2721338768375309                                0.9989155185134725+2.4430588750124966E-8i
0.2961910329772555                                0.998915518583303+2.6589100056639756E-8i
0.32237488781490303                               0.9989155186660335+2.893808121979101E-8i
0.35087344559027134                               0.9989155187639813+3.14942694567289E-8i
0.3818913304781854                                0.9989155188800021+3.42758535236092E-8i
0.4156512558225992                                0.9989155190173675+3.730259154915575E-8i
0.45239562325380556                               0.9989155191801455+4.05959418511885E-8i
0.49238826317067413                               0.9989155193729031+4.417919647058602E-8i
0.5359163290848518                                0.998915519601202+4.807762744290715E-8i
0.5832923594286206                                0.998915519871498+5.231863755022229E-8i
0.634856521630522                                 0.9989155201916087+5.6931921123395304E-8i
0.6909790545715645                                0.9989155205706729+6.19496261137075E-8i
0.752062926959241                                 0.9989155210193869+6.74065245726932E-8i
0.8185467307069029                                0.998915521550597+7.334018098168277E-8i
0.8909078300934142                                0.9989155221794415+7.979111818189942E-8i
0.9696657893145525                                0.9989155229236798+8.680297967442863E-8i
1.0553861030365241                                0.9989155238043063+9.442266825743986E-8i
1.1486842567375548                                0.9989155248461487+1.027004694058943E-7i
1.250230145991456                                 0.9989155260784727+1.1169013648053325E-7i
1.3607528864243346                                0.9989155275355875+1.2144892013549125E-7i
1.4810460488806754                                0.9989155292580416+1.3203752845056537E-7i
1.6119733573881587                                0.9989155312932789+1.43519993274017E-7i
1.7544748908334598                                0.998915533697064+1.5596340258270576E-7i
1.9095738328780987                                0.9989155365344202+1.694374585812468E-7i
2.0783838185797574                                0.9989155398817241+1.840138259834781E-7i
2.2621169304690265                                0.9989155438273888+1.9976518559761277E-7i
2.462092401494628                                 0.9989155484743951+2.1676394700527142E-7i
2.679746087325692                                 0.9989155539417349+2.3508050040847637E-7i
2.9166407760237067                                0.9989155603664748+2.5478093806246224E-7i
3.1744774091091936                                0.9989155679055782+2.7592411286761965E-7i
3.4551072945922217                                0.9989155767377289+2.9855792863198266E-7i
3.760545399658172                                 0.9989155870645422+3.2271472757222984E-7i
4.092984818452442                                 0.9989155991117349+3.484056860290364E-7i
4.454812518844989                                 0.9989156131290763+3.756141479876643E-7i
4.848626481239083                                 0.9989156293888485+4.0428791273226234E-7i
5.277254352483543                                 0.998915648182988+4.3433056200946647E-7i
5.7437737488265865                                0.9989156698178028+4.655921453616395E-7i
6.251534353689718                                 0.9989156946054125+4.978597247075398E-7i
6.804181968927101                                 0.998915722852353+5.308485191303479E-7i
7.405684692262442                                 0.9989157548438486+5.641947844066393E-7i
8.060361408861345                                 0.9989157908247102+5.974518817157475E-7i
8.772912801613366                                 0.9989158309768101+6.300910458453391E-7i
9.548455102782302                                 0.9989158753937927+6.615087385196913E-7i
10.39255682936713                                 0.9989159240566043+6.910419301386522E-7i
11.311278765939225                                0.9989159768105753+7.179921835661842E-7i
12.311217482038908                                0.9989160333489047+7.416584259053723E-7i
13.399552696593398                                0.9989160932058536+7.613766091702985E-7i
14.584098829439863                                0.9989161557615412+7.765631821800734E-7i
15.873361110102103                                0.9989162202617298+7.867576707429237E-7i
17.276596646690383                                0.9989162858510475+7.916591153959984E-7i
18.803880893409165                                0.9989163516174403+7.911512110146405E-7i
20.46617999391992                                 0.9989164166433663+7.853123839952324E-7i
22.275429519995587                                0.9989164800576125+7.744092508343074E-7i
24.244620170823307                                0.9989165410818205+7.588745215609796E-7i
26.387891048289347                                0.9989165990663671+7.392724934943182E-7i
28.720631177978312                                0.9989166535130638+7.162573771615092E-7i
31.25959000482281                                 0.9989167040834115+6.905294427948907E-7i
34.02299765678071                                 0.998916750593948+6.627941518737542E-7i
37.03069584005145                                 0.9989167930015513+6.337276162780283E-7i
40.30428030568055                                 0.9989168313814453+6.039504481048143E-7i
43.867255910485035                                0.9989168659028902+5.740105568951315E-7i
47.745205385661315                                0.9989168968037523+5.443741248098402E-7i
51.96597302486202                                 0.9989169243670731+5.154235089653106E-7i
56.55986461065008                                 0.9989169489012639+4.874602684731266E-7i
61.55986501483514                                 0.9989169707232572+4.607117448386945E-7i
67.0018750350959                                  0.9989169901463886+4.353396226321966E-7i
72.92496916841452                                 0.9989170074708725+4.1144937043514204E-7i
79.37167617217558                                 0.9989170229782212+3.890996919150223E-7i
86.38828442740453                                 0.9989170369275009+3.6831137158324194E-7i
94.02517429670142                                 0.998917049553479+3.4907522749143946E-7i
102.33717986325213                                0.9989170610667891+3.31359009617375E-7i
111.38398264826206                                0.9989170716542474+3.151131531937729E-7i
121.23054013376529                                0.9989170814801575+3.0027550116685297E-7i
131.94755216767086                                0.998917090687946+2.867751164607518E-7i
143.61196859990804                                0.9989170994015678+2.745353303097426E-7i
156.30754179458174                                0.9989171077272072+2.6347623270124033E-7i
170.1254279852589                                 0.998917115754464+2.53516789250867E-7i
185.1648417912158                                 0.9989171235579056+2.4457671676067353E-7i
201.53376859417352                                0.9989171311984361+2.3657821030714162E-7i
219.34973989050602                                0.9989171387246787+2.294475460598976E-7i
238.7406771860647                                 0.9989171461748181+2.2311648569816445E-7i
259.84581049292524                                0.9989171535785987+2.175234021929014E-7i
282.81667802300353                                0.9989171609591415+2.1261398488784948E-7i
307.81821425650804                                0.9989171683357081+2.0834141731472743E-7i
335.02993419772366                                0.9989171757254989+2.046659926498543E-7i
364.64722232127525                                0.9989171831456445+2.0155416012352483E-7i
396.8827354637166                                 0.9989171906148913+1.9897711164717087E-7i
431.96792973341735                                0.9989171981544301+1.9690903455144674E-7i
470.1547224022139                                 0.9989172057884959+1.9532519714520597E-7i
511.717300711461                                  0.9989172135439491+1.9420003105418804E-7i
556.9540905800136                                 0.9989172214495974+1.9350538869848088E-7i
606.1898993497584                                 0.9989172295348662+1.932090916816784E-7i
659.7782479539546                                 0.9989172378281703+1.9327396242039898E-7i
718.1039092537357                                 0.9989172463543865+1.9365739963502607E-7i
781.585670768409                                  0.9989172551329865+1.9431170037951255E-7i
850.679341636417                                  0.9989172641755779+1.951851729430884E-7i
925.8810253973965                                 0.9989172734839241+1.9622401797847637E-7i
1007.7306820944617                                0.9989172830487831+1.9737497530650472E-7i
1096.8160052731403                                0.9989172928491058+1.9858849309531333E-7i
1193.7766417144383                                0.9989173028529004+1.998221411639087E-7i
1299.3087842004172                                0.9989173130187864+2.010438041627666E-7i
1414.1701702890239                                0.9989173232988794+2.0223436507994917E-7i
1539.1855229902085                                0.9989173336424668+2.033893117301921E-7i
1675.2524724082173                                0.9989173439999554+2.0451921022011191E-7i
1823.3480008684423                                0.9989173543268406+2.0564873587738678E-7i
1984.5354578058032                                0.9989173645874105+2.0681465906990936E-7i
2159.9721947827215                                0.9989173747571757+2.0806279394669889E-7i
2350.917875457289                                 0.9989173848244235+2.0944443258018664E-7i
2558.743520168589                                 0.9989173947906119+2.110127607319957E-7i
2784.94135008065                                  0.9989174046695651+2.1281937729928605E-7i
3031.135501567582                                 0.9989174144862074+2.1491149757320444E-7i
3299.0936877709423                                0.9989174242741505+2.1732974867670403E-7i
3590.739891061055                                 0.9989174340736741+2.2010672406159005E-7i
3908.168177536272                                 0.9989174439290539+2.2326630356436736E-7i
4253.657732750392                                 0.9989174538863744+2.2682344963602868E-7i
4629.689226627268                                 0.9989174639915133+2.3078457206390675E-7i
5038.962625065161                                 0.9989174742884054+2.3514801748793321E-7i
5484.416576121026                                 0.998917484817507+2.3990473949054945E-7i
5969.249509970739                                 0.9989174956146758+2.4503897334551777E-7i
6496.942604146125                                 0.9989175067093664+2.505288817286173E-7i
7071.284778943011                                 0.9989175181236997+2.563472302856228E-7i
7696.399902471167                                 0.9989175298702245+2.6246224903551163E-7i
8376.776400682924                                 0.9989175419503308+2.6883904911269345E-7i
9117.29948498494                                  0.9989175543517904+2.7544147914719114E-7i
9923.286228832565                                 0.9989175670468029+2.8223501053173464E-7i
10800.52374516254                                 0.9989175799905001+2.891904227768271E-7i
11755.310738783699                                0.9989175931200083+2.962884870790957E-7i
12794.50273207876                                 0.9989176063550614+3.035252544915448E-7i
13925.561288744648                                0.9989176195998134+3.109176127822962E-7i
15156.607589006044                                0.9989176327467776+3.185085747014554E-7i
16496.48074098024                                 0.9989176456825146+3.2637142508204426E-7i
17954.80124687834                                 0.9989176582943186+3.346122570957822E-7i
19542.040079740553                                0.9989176704780752+3.4337012265281825E-7i
21269.59386668692                                 0.9989176821452671+3.5281490997134844E-7i
23149.866718511657                                0.9989176932294773+3.631427517674229E-7i
25196.359293170186                                0.998917703690406+3.7456979334934173E-7i
27423.765732649525                                0.9989177135156097+3.8732524418835955E-7i
29848.079169243334                                0.99891772271979+4.016443382467507E-7i
32486.706558783815                                0.998917731341422+4.1776255442887126E-7i
35358.59366535183                                 0.9989177394381108+4.359114284030713E-7i
38484.36109487433                                 0.9989177470806778+4.5631648147862115E-7i
41886.4523543528                                  0.9989177543473013+4.791971701782813E-7i
45589.294999810685                                0.998917761317879+5.047687373119612E-7i
49619.47603002908                                 0.9989177680697529+5.332454866224917E-7i
54005.93278542374                                 0.9989177746735741+5.648450667790406E-7i
58780.16072274924                                 0.998917781191333+5.997934438408138E-7i
63976.439557484366                                0.9989177876746398+6.383301520295855E-7i
69632.0793976389                                  0.9989177941645878+6.80713628006915E-7i
75787.68863625945                                 0.9989178006920285+7.272265005053226E-7i
82487.46552614598                                 0.9989178072784335+7.781806777568138E-7i
89779.51553033332                                 0.9989178139375764+8.339222672257294E-7i
97716.19672696182                                 0.9989178206775107+8.948362504135382E-7i
106354.49574860134                                0.9989178275028016+9.613510239069515E-7i
115756.43695533059                                0.9989178344167913+1.0339427783964645E-6i
125989.52777950285                                0.9989178414246228+1.1131398734441363E-6i
137127.24343984036                                0.9989178485355338+1.1995271947410654E-6i
149249.55450518322                                0.9989178557665725+1.2937505763440807E-6i
162443.50109588687                                0.9989178631454217+1.3965212619831887E-6i
176803.81784572086                                0.9989178707144092+1.5086204475956922E-6i
192433.6141115984                                 0.998917878533904+1.6309038458324813E-6i
209445.1143151473                                 0.9989178866869084+1.7643063271120923E-6i
227960.4637318982                                 0.998917895283066+1.9098467283885823E-6i
248112.60551377755                                0.9989179044629911+2.06863286218045E-6i
270046.23524206877                                0.9989179144032462+2.2418669494175647E-6i
293918.83986468904                                0.9989179253211623+2.4308516369371354E-6i
319901.8284775067                                 0.9989179374802273+2.6369966909880995E-6i
348181.76306889736                                0.9989179511969842+2.8618265652770975E-6i
378961.69806447235                                0.9989179668476309+3.106988840095912E-6i
412462.63829013566                                0.9989179848778981+3.374263486749582E-6i
448925.12582186074                                0.9989180058131908+3.6655730258927054E-6i
488610.9671160336                                 0.9989180302721267+3.982993189845354E-6i
531805.1128214208                                 0.9989180589820993+4.328764063271554E-6i
578817.703770128                                  0.9989180927985603+4.7053013840473335E-6i
629986.2978380707                                 0.9989181327273986+5.115207545397216E-6i
685678.2936641752                                 0.9989181799517839+5.561282083979696E-6i
746293.5686310144                                 0.9989182358635007+6.046530992857182E-6i
812267.350047972                                  0.9989183020995731+6.574174325881068E-6i
884073.3401525081                                 0.9989183805845753+7.1476513211193996E-6i
962227.1173675155                                 0.9989184735801048+7.770622024604117E-6i
1047289.8382363617                                0.9989185837412021+8.446964225242648E-6i
1139872.2666160525                                0.9989187141812002+9.180763996180181E-6i
1240639.1590588344                                0.9989188685458046+9.976297932289263E-6i
1350314.0378698776                                0.998919051096425+1.0838004342077017E-5i
1469684.3861124474                                0.9989192668039842+1.1770440273316547E-5i
1599607.301861491                                 0.9989195214523293+1.277822038986313E-5i
1741015.6523040226                                0.9989198217516292+1.3865932952890081E-5i
1894924.7718738236                                0.99892017545827+1.5038027162921334E-5i
2062439.752514097                                 0.9989205915002117+1.6298665474206376E-5i
2244763.3784132237                                0.9989210801013114+1.7651533455948354E-5i
2443204.762186492                                 0.9989216528971282+1.909959946589071E-5i
2659188.744512702                                 0.9989223230317222+2.0644816358550703E-5i
2894266.1247167517                                0.9989231052197758+2.2287757986604857E-5i
3150124.795755334                                 0.9989240157541805+2.4027186003876125E-5i
3428601.8635565974                                0.9989250724330901+2.585954590338948E-5i
3731696.8377327556                                0.9989262943752236+2.777839842856631E-5i
4061585.988376988                                 0.9989277016878759+2.9773802393493616E-5i
4420637.972028548                                 0.9989293149479028+3.183167899052902E-5i
4811430.839003264                                 0.9989311544600398+3.3933205317127065E-5i
5236770.544204666                                 0.9989332392639002+3.605430610947168E-5i
5699711.094326075                                 0.9989355858806032+3.816533374173523E-5i
6203576.476104281                                 0.9989382068200952+4.023104547645715E-5i
6751984.523072522                                 0.9989411089139112+4.221099501974879E-5i
7348872.892180388                                 0.9989442915915382+4.4060446489846616E-5i
7998527.336796724                                 0.9989477452763287+4.5731885376283464E-5i
8705612.479099892                                 0.9989514501235419+4.7177136080057744E-5i
9475205.302806547                                 0.9989553753466197+4.83500045905581E-5i
1.0312831606721869E7                              0.9989594793560601+4.9209254764611645E-5i
1.1224505680853104E7                              0.9989637108627702+4.972162418565823E-5i
1.2216773489967931E7                              0.9989680109714356+4.986451506626513E-5i
1.3296759674662154E7                              0.9989723161340742+4.9627989008183764E-5i
1.4472218707411403E7                              0.9989765616749048+4.901576140968852E-5i
1.5751590570916245E7                              0.9989806854885254+4.804503102994321E-5i
1.7144061358519755E7                              0.9989846314715061+4.674515960401264E-5i
1.865962923181746E7                               0.9989883522983328+4.515539431872772E-5i
2.030917620904739E7                               0.998991811273117+4.332195903256929E-5i
2.2104546299710285E7                              0.9989949831515629+4.129490093093303E-5i
2.405863054644067E7                               0.998997853986353+3.912506056951091E-5i
2.6185459584742382E7                              0.9990004201736822+3.686145473010006E-5i
2.850030438518117E7                               0.9990026869469018+3.4549250486113335E-5i
3.1019785901381E7                                 0.9990046665769259+3.22283934160158E-5i
3.376199441111347E7                               0.9990063765082486+2.9932861127694367E-5i
3.674661940736703E7                               0.9990078376071607+2.7690448698613506E-5i
3.99950909720367E7                                0.9990090726311289+2.552296228182405E-5i
4.353073364731901E7                               0.9990101049798357+2.3446694185467527E-5i
4.737893390963144E7                               0.9990109577336608+2.1473062498340534E-5i
5.156732244854974E7                               0.9990116529642954+1.9609324307861824E-5i
5.612597255954989E7                               0.9990122112785063+1.7859292267678188E-5i
6.10876160750504E7                                0.9990126515523808+1.6224010151052463E-5i
6.648787838417277E7                               0.9990129908120258+1.4702360047447314E-5i
7.23655342286968E7                                0.9990132442225174+1.3291589357366424E-5i
7.876278611187063E7                               0.9990134251492497+1.1987754056231124E-5i
8.572556731909342E7                               0.999013545269332+1.0786083934141245E-5i
9.330387172620398E7                               0.999013614707676+9.681275484997333E-6i
1.0155211276345691E8                              0.9990136421869337+8.667722953134671E-6i
1.1052951411260243E8                              0.999013635179307+7.73969673224053E-6i
1.2030053494233291E8                              0.9990136000531092+6.891478108652918E-6i
1.3093533273536122E8                              0.9990135422104002+6.117458541156885E-6i
1.425102670303002E8                               0.9990134662136103+5.412210999293974E-6i
1.5510844769528404E8                              0.9990133758985533+4.770538728211863E-6i
1.688203316700366E8                               0.999013274475022+4.187507337006262E-6i
1.8374437246107325E8                              0.9990131646164189+3.6584641535531795E-6i
